Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000088	Dechloromonas aromatica RCB	
Bacteria	Finished	637000137	Jannaschia sp. CCS1	
Bacteria	Finished	637000032	Bordetella bronchiseptica RB50	
Bacteria	Finished	637000033	Bordetella parapertussis 12822	
Bacteria	Finished	637000038	Bradyrhizobium japonicum USDA 110	
Bacteria	Finished	637000048	Burkholderia mallei ATCC 23344	
Bacteria	Finished	637000050	Burkholderia pseudomallei K96243	
Bacteria	Finished	637000051	Burkholderia cepacia 383	
Bacteria	Finished	637000052	Burkholderia thailandensis E264, ATCC 700388	
Bacteria	Finished	637000053	Paraburkholderia xenovorans LB400	
Bacteria	Finished	637000224	Pseudomonas syringae pv. syringae B728a	
Bacteria	Finished	637000234	Rhodococcus jostii RHA1	
Bacteria	Finished	637000267	Ruegeria pomeroyi DSS-3	
Bacteria	Finished	8023964767	Agrobacterium tumefaciens AF1/95	
Bacteria	Permanent Draft	638341027	Burkholderia mallei 10399	
Bacteria	Permanent Draft	638341028	Burkholderia mallei 2002721280	
Bacteria	Permanent Draft	638341029	Burkholderia mallei FMH	
Bacteria	Permanent Draft	638341030	Burkholderia mallei GB8 horse 4	
Bacteria	Permanent Draft	638341031	Burkholderia mallei JHU	
Bacteria	Permanent Draft	638341035	Burkholderia pseudomallei 1106b	
Bacteria	Permanent Draft	638341036	Burkholderia pseudomallei 1655	
Bacteria	Permanent Draft	638341037	Burkholderia pseudomallei 1710a	
Bacteria	Permanent Draft	638341038	Burkholderia pseudomallei 406e	
Bacteria	Permanent Draft	638341040	Burkholderia pseudomallei Pasteur	
Bacteria	Permanent Draft	638341041	Burkholderia pseudomallei S13	
Bacteria	Finished	639279302	Agrobacterium tumefaciens C58-UWash	
Bacteria	Finished	639633007	Azoarcus olearius BH72	
Bacteria	Finished	639633015	Burkholderia mallei SAVP1	
Bacteria	Finished	8023918058	Bordetella parapertussis B271	
Bacteria	Finished	639633048	Paracoccus denitrificans PD1222	
Bacteria	Permanent Draft	639857019	Roseibium aggregatum IAM 12614	
Bacteria	Finished	640069301	Acinetobacter baumannii ATCC 17978	
Bacteria	Finished	640069303	Burkholderia mallei NCTC 10229	
Bacteria	Finished	640069304	Burkholderia mallei NCTC 10247	
Bacteria	Finished	640069305	Burkholderia pseudomallei 1106a	
Bacteria	Finished	640069306	Burkholderia pseudomallei 668	
Bacteria	Finished	640069307	Burkholderia vietnamiensis G4	
Bacteria	Finished	640427144	Rhizorhabdus wittichii RW1	
Bacteria	Permanent Draft	640612222	Burkholderia pseudomallei 305	
Bacteria	Finished	641522602	Acinetobacter baumannii AYE	
Bacteria	Finished	641522649	Shewanella woodyi ATCC 51908	
Bacteria	Permanent Draft	641736118	Burkholderia pseudomallei NCTC 13177	
Bacteria	Permanent Draft	641736119	Burkholderia pseudomallei 112	
Bacteria	Permanent Draft	641736121	Burkholderia oklahomensis C6786	
Bacteria	Permanent Draft	641736122	Burkholderia oklahomensis EO147	
Bacteria	Permanent Draft	641736125	Burkholderia pseudomallei 7894	
Bacteria	Permanent Draft	641736126	Burkholderia pseudomallei B7210	
Bacteria	Permanent Draft	641736128	Burkholderia pseudomallei 9	
Bacteria	Permanent Draft	641736129	Burkholderia pseudomallei 91	
Bacteria	Permanent Draft	641736130	Burkholderia pseudomallei 14	
Bacteria	Permanent Draft	641736131	Burkholderia pseudomallei DM98	
Bacteria	Permanent Draft	641736132	Burkholderia thailandensis Bt4	
Bacteria	Permanent Draft	641736151	Paraburkholderia graminis C4D1M	
Bacteria	Permanent Draft	641736199	Burkholderia mallei PRL-20	
Bacteria	Finished	642555102	Acinetobacter baumannii ACICU	
Bacteria	Finished	642555112	Paraburkholderia phymatum STM815	
Bacteria	Finished	642555113	Paraburkholderia phytofirmans PsJN	
Bacteria	Finished	643348502	Acinetobacter baumannii AB0057	
Bacteria	Finished	643348503	Acinetobacter baumannii AB307-0294	
Bacteria	Finished	643348504	Agrobacterium radiobacter K84	
Bacteria	Finished	643348505	Allorhizobium ampelinum S4	
Bacteria	Permanent Draft	642979333	Burkholderia pseudomallei 576	
Bacteria	Permanent Draft	642979355	Burkholderia sp. H160	
Bacteria	Finished	643692032	Sinorhizobium fredii NGR234	
Bacteria	Permanent Draft	643886077	Burkholderia pseudomallei Pakistan 9	
Bacteria	Finished	644736355	Dickeya zeae Ech1591	
Bacteria	Finished	644736404	Saccharomonospora viridis P101, DSM 43017	
Bacteria	Permanent Draft	645058826	Burkholderia thailandensis E264, ATCC 700388	
Bacteria	Permanent Draft	646206267	Acinetobacter calcoaceticus RUH2202	
Bacteria	Finished	646564515	Paraburkholderia atlantica CCGE1002	
Bacteria	Permanent Draft	647000200	Achromobacter piechaudii ATCC 43553	
Bacteria	Permanent Draft	647000204	Acinetobacter baumannii 6013150	
Bacteria	Permanent Draft	647533101	Acinetobacter baumannii ATCC 19606	
Bacteria	Permanent Draft	647533250	Luminiphilus syltensis NOR5-1B	
Bacteria	Finished	648028004	Acinetobacter oleivorans DR1	
Bacteria	Finished	648028011	Burkholderia sp. CCGE1003	
Bacteria	Finished	648028024	Dickeya dadantii 3937	
Bacteria	Finished	648028033	Herbaspirillum seropedicae SmR1	
Bacteria	Permanent Draft	648276604	Acinetobacter baumannii AB056	
Bacteria	Permanent Draft	8026019925	PS1 clade alphaproteobacterium AG-905-G15	
Bacteria	Permanent Draft	648861014	Roseibium sp. TrichSKD4	
Bacteria	Finished	649633001	Achromobacter xylosoxidans A8	
Bacteria	Finished	649633081	Pantoea sp. At-9b	
Bacteria	Finished	649633106	Variovorax paradoxus EPS	
Bacteria	Finished	650377901	Acinetobacter baumannii 1656-2	
Bacteria	Finished	650377902	Acinetobacter baumannii TCDC-AB0715	
Bacteria	Finished	650377928	Enterobacter hormaechei NCTC 9394	
Bacteria	Permanent Draft	2507262055	Bradyrhizobium sp. WSM1417	
Bacteria	Permanent Draft	2508501009	Bradyrhizobium sp. WSM471	
Bacteria	Permanent Draft	2508501040	Paraburkholderia dioscoreae Ch1-1	
Bacteria	Permanent Draft	2508501042	Bradyrhizobium sp. WSM1253	
Bacteria	Finished	2506520038	Rahnella aquatilis CIP 78.65	
Bacteria	Finished	650716032	Delftia acidovorans Cs1-4	
Bacteria	Finished	651053061	Pseudonocardia dioxanivorans CB1190	
Bacteria	Permanent Draft	2509276018	Mesorhizobium ciceri CMG6	
Bacteria	Permanent Draft	2509276048	Burkholderia cepacia ATCC 25416	
Bacteria	Permanent Draft	2510065045	Paraburkholderia sprentiae WSM5005	
Bacteria	Permanent Draft	2508501124	Paraburkholderia dilworthii WSM3556	
Bacteria	Permanent Draft	2508501125	Burkholderia sp. WSM2232	
Bacteria	Permanent Draft	641736127	Burkholderia thailandensis MSMB43	
Bacteria	Permanent Draft	641736117	Burkholderia pseudomallei BCC215	
Bacteria	Permanent Draft	641736124	Burkholderia thailandensis TXDOH	
Bacteria	Finished	2511231155	Acinetobacter baumannii MDR-ZJ06	
Bacteria	Finished	2511231207	Bradyrhizobium japonicum USDA 6	
Bacteria	Permanent Draft	2512047018	Pseudomonas chlororaphis chlororaphis GP72	
Bacteria	Permanent Draft	2513020036	Nitriliruptor alkaliphilus DSM 45188	
Bacteria	Permanent Draft	2513237082	Paraburkholderia mimosarum STM3621	
Bacteria	Permanent Draft	2513237083	Paraburkholderia mimosarum LMG 23256	
Bacteria	Permanent Draft	2513237093	Rhizobium leguminosarum bv. phaseoli FA23	
Bacteria	Permanent Draft	2513237094	Bradyrhizobium sp. WSM3983	
Bacteria	Permanent Draft	2513237096	Bradyrhizobium pachyrhizi USDA 3259	
Bacteria	Permanent Draft	2513237097	Bradyrhizobium japonicum USDA 6	
Bacteria	Permanent Draft	2513237098	Bradyrhizobium elkanii WSM2783	
Bacteria	Permanent Draft	2513237102	Bradyrhizobium japonicum USDA 135	
Bacteria	Permanent Draft	2513237136	Bradyrhizobium arachidis USDA 3384	
Bacteria	Permanent Draft	2513237137	Bradyrhizobium elkanii USDA 94	
Bacteria	Permanent Draft	2513237141	Bradyrhizobium sp. TV2a.2	
Bacteria	Permanent Draft	2513237145	Bradyrhizobium elkanii USDA 3254	
Bacteria	Permanent Draft	2513237148	Bradyrhizobium japonicum USDA 38 (Illumina)	
Bacteria	Permanent Draft	2513237151	Burkholderia sp. WSM2230	
Bacteria	Permanent Draft	2513237153	Bradyrhizobium sp. WSM2254	
Bacteria	Permanent Draft	2513237161	Bradyrhizobium sp. WSM2793	
Bacteria	Permanent Draft	2513237166	Paraburkholderia azotifigens UYPR1.413	
Bacteria	Finished	2513237178	Bradyrhizobium cosmicum S23321	
Bacteria	Finished	2513237222	Burkholderia pseudomallei 1026b	
Bacteria	Permanent Draft	2513237326	Achromobacter arsenitoxydans SY8	
Bacteria	Permanent Draft	2515154032	Amycolatopsis taiwanensis DSM 45107	
Bacteria	Permanent Draft	2503754012	Acinetobacter isolate CA5	
Bacteria	Permanent Draft	2508501054	Pseudomonas syringae pv. aceris M302273PT	
Bacteria	Permanent Draft	2516143008	Amycolatopsis alba DSM 44262	
Bacteria	Permanent Draft	2511231006	Pseudomonas sp. GM17	
Bacteria	Permanent Draft	2515154189	Paraburkholderia nodosa DSM 21604	
Bacteria	Permanent Draft	2503754004	Acinetobacter isolate CA1	
Bacteria	Permanent Draft	2511231001	Acidovorax sp. CF316	
Bacteria	Permanent Draft	2511231032	Pseudomonas sp. GM24	
Bacteria	Permanent Draft	2506783023	Pseudomonas syringae CC94	
Bacteria	Permanent Draft	2503754010	Acinetobacter isolate CA4	
Bacteria	Permanent Draft	2505119018	Acinetobacter isolate CA1-unmapped	
Bacteria	Permanent Draft	2503754008	Acinetobacter isolate CA3	
Bacteria	Permanent Draft	2511231028	Bradyrhizobium sp. YR681	
Bacteria	Permanent Draft	2504643025	Acinetobacter baumannii A	
Bacteria	Permanent Draft	2511231025	Pantoea sp. YR343	
Bacteria	Permanent Draft	2512047030	Paraburkholderia tuberum STM678	
Bacteria	Permanent Draft	2511231031	Pseudomonas sp. GM16	
Bacteria	Permanent Draft	2511231035	Pantoea sp. GM01	
Bacteria	Permanent Draft	2509276053	Pseudomonas syringae USA011	
Bacteria	Permanent Draft	2515154122	Paraburkholderia atlantica JPY251	
Bacteria	Permanent Draft	2503754006	Acinetobacter isolate CA2	
Bacteria	Permanent Draft	2510917014	Paraburkholderia silvatlantica SRMrh-20	
Bacteria	Permanent Draft	2510917013	Paraburkholderia unamae MTI-641	
Bacteria	Permanent Draft	2516143111	Achromobacter piechaudii HLE	
Bacteria	Permanent Draft	2502171175	Labrenzia sp. DG1229	
Bacteria	Permanent Draft	2508501073	Pseudomonas syringae pv. syringae B728a	
Bacteria	Permanent Draft	2505119021	Acinetobacter isolate CA4-unmapped	
Bacteria	Permanent Draft	2504643027	Acinetobacter baumannii C	
Bacteria	Permanent Draft	2508501030	Paracoccus pantotrophus J46	
Bacteria	Permanent Draft	2505119022	Acinetobacter isolate CA5-unmapped	
Bacteria	Permanent Draft	2505119019	Acinetobacter isolate CA2-unmapped	
Bacteria	Permanent Draft	2505119044	Agrobacterium rhizogenes A4	
Bacteria	Permanent Draft	2505119020	Acinetobacter isolate CA3-unmapped	
Bacteria	Permanent Draft	2515154112	Bradyrhizobium sp. WSM4349	
Bacteria	Permanent Draft	2506783032	Pseudomonas syringae CC1559	
Bacteria	Permanent Draft	2512047091	Variovorax sp. HW608	
Bacteria	Permanent Draft	2513020051	Variovorax sp. CF313	
Bacteria	Permanent Draft	2510917015	Paraburkholderia silvatlantica PVA5	
Bacteria	Permanent Draft	2515154073	Dasania marina DSM 21967	
Bacteria	Permanent Draft	2501025501	Paraburkholderia silvatlantica PVA5	
Bacteria	Permanent Draft	2508501112	Bordetella petrii J51	
Bacteria	Permanent Draft	2508501113	Paracoccus pantotrophus J40	
Bacteria	Permanent Draft	2506210030	Pseudomonas fluorescens NZ011	
Bacteria	Permanent Draft	2505313042	Pseudomonas syringae PgyLN10	
Bacteria	Permanent Draft	2505313041	Pseudomonas syringae PgyUnB647	
Bacteria	Permanent Draft	2501025504	Paraburkholderia silvatlantica SRMrh-20	
Bacteria	Permanent Draft	2504643026	Acinetobacter baumannii B	
Bacteria	Permanent Draft	2506783058	Pseudomonas syringae PsyB48	
Bacteria	Permanent Draft	2504756020	Acinetobacter baumannii HC64	
Bacteria	Permanent Draft	2507262002	Pseudomonas syringae UB303	
Bacteria	Permanent Draft	2505313043	Pseudomonas syringae PgyKN44	
Bacteria	Permanent Draft	2506783055	Pseudomonas syringae PacA10853	
Bacteria	Permanent Draft	2505313065	Pseudomonas syringae PmaM6	
Bacteria	Permanent Draft	2506783057	Pseudomonas syringae Psv4352	
Bacteria	Permanent Draft	2505313040	Pseudomonas syringae PgyBR1	
Bacteria	Permanent Draft	8033748289	Streptomyces qinglanensis 172205	
Bacteria	Permanent Draft	8033164456	Acinetobacter lactucae TG29425	
Bacteria	Permanent Draft	2517093001	Bradyrhizobium japonicum USDA 124	
Bacteria	Permanent Draft	2516653048	Bradyrhizobium genosp. SA-4 CB756	
Bacteria	Permanent Draft	2516493031	Actinopolyspora mortivallis HS-1, DSM 44261	
Bacteria	Permanent Draft	2516653074	Paraburkholderia tuberum WSM4176	
Bacteria	Finished	2517572023	Sinorhizobium fredii HH103	
Bacteria	Permanent Draft	2517572096	Rhizobium sp. 42MFCr.1	
Bacteria	Permanent Draft	2517572143	Bradyrhizobium elkanii USDA 76	
Bacteria	Permanent Draft	2517572147	Amorphus coralli DSM 19760	
Bacteria	Permanent Draft	2517572242	Amycolatopsis methanolica 239, DSM 44096	
Bacteria	Permanent Draft	2518285603	Actinokineospora enzanensis DSM 44649	
Bacteria	Finished	2518645580	Paraburkholderia phenoliruptrix BR3459	
Bacteria	Permanent Draft	2519103078	Burkholderia pseudomallei 354e	
Bacteria	Finished	2519103095	Burkholderia sp. KJ006	
Bacteria	Finished	2519103115	Acinetobacter baumannii TYTH-1	
Bacteria	Permanent Draft	8050194972	Burkholderia mallei 3076	
Bacteria	Permanent Draft	2519103180	Curvibacter lanceolatus ATCC 14669	
Bacteria	Permanent Draft	2519899633	Variovorax paradoxus 110B	
Bacteria	Permanent Draft	2519899636	Microbulbifer variabilis ATCC 700307	
Bacteria	Permanent Draft	2519899734	Acinetobacter baumannii ZWS1219	
Bacteria	Permanent Draft	2519899735	Acinetobacter baumannii ZWS1122	
Bacteria	Finished	2519899736	Acinetobacter baumannii AC30	
Bacteria	Permanent Draft	2519899763	Stutzerimonas degradans Chol1	
Bacteria	Finished	2519899768	Burkholderia pseudomallei MSHR346	
Bacteria	Permanent Draft	2519899842	Acinetobacter baumannii Ab11111	
Bacteria	Permanent Draft	2521172625	Paraburkholderia caledonica 376MFSha3.1 (minimal draft)	
Bacteria	Permanent Draft	2521172642	Pseudomonas sp. LAMO17WK12:I10	
Bacteria	Permanent Draft	2521172646	Pseudomonas sp. LAMO17WK12:I9	
Bacteria	Finished	2521172686	Burkholderia pseudomallei BPC006	
Bacteria	Finished	2521172690	Liberibacter crescens BT-1	
Bacteria	Permanent Draft	2522125081	Bordetella sp. FB-8, DSM 24873	
Bacteria	Permanent Draft	2522572097	Limnohabitans sp. Rim28	
Bacteria	Permanent Draft	2522572104	Paraburkholderia graminis URHA0054	
Bacteria	Permanent Draft	2523231025	Comamonadaceae bacterium URHA0028	
Bacteria	Permanent Draft	2523533526	Thiomonas sp. FB-6, DSM 25805	
Bacteria	Permanent Draft	2523533537	Novosphingobium acidiphilum DSM 19966	
Bacteria	Permanent Draft	2524023144	Alcaligenes faecalis phenolicus DSM 16503	
Bacteria	Permanent Draft	2524023210	Bradyrhizobium sp. Ai1a-2	
Bacteria	Permanent Draft	2524023214	Leucobacter chironomi DSM 19883	
Bacteria	Permanent Draft	2524023228	Bradyrhizobium sp. Th.b2	
Bacteria	Permanent Draft	2524614545	Bradyrhizobium japonicum is5	
Bacteria	Permanent Draft	2524614546	Bradyrhizobium japonicum in8p8	
Bacteria	Permanent Draft	2524614660	Gulosibacter molinativorax DSM 13485	
Bacteria	Permanent Draft	2524614768	Yaniella halotolerans DSM 15476	
Bacteria	Permanent Draft	2524614806	Cucumibacter marinus DSM 18995	
Bacteria	Permanent Draft	2526164713	Paraburkholderia phenoliruptrix JPY366	
Bacteria	Permanent Draft	2526164741	Azohydromonas australica DSM 1124	
Bacteria	Permanent Draft	2526164786	Pseudomonas chlororaphis HT66	
Bacteria	Finished	2528311013	Variovorax paradoxus B4	
Bacteria	Permanent Draft	2528768022	Bradyrhizobium japonicum USDA 123	
Bacteria	Permanent Draft	2528768220	Actinokineospora inagensis DSM 44258	
Bacteria	Permanent Draft	8037487210	Bordetella bronchiseptica SH05	
Bacteria	Permanent Draft	2529292945	Acinetobacter baumannii ABNIH22	
Bacteria	Permanent Draft	2529292946	Acinetobacter baumannii ABNIH23	
Bacteria	Permanent Draft	2529292947	Acinetobacter baumannii ABNIH24	
Bacteria	Permanent Draft	2529292948	Acinetobacter baumannii ABNIH16	
Bacteria	Permanent Draft	2529292949	Acinetobacter baumannii ABNIH17	
Bacteria	Permanent Draft	8038885320	Burkholderia cepacia MSMB1333WGS	
Bacteria	Permanent Draft	8038689750	Burkholderia cepacia MSMB1332WGS	
Bacteria	Permanent Draft	8038854749	Burkholderia cepacia MSMB1337WGS	
Bacteria	Permanent Draft	2529293007	Acinetobacter baumannii NIPH 527	
Bacteria	Permanent Draft	2529293009	Acinetobacter baumannii NIPH 70	
Bacteria	Permanent Draft	2529293010	Acinetobacter baumannii NIPH 528	
Bacteria	Permanent Draft	2529293051	Achromobacter xylosoxidans AXX-A	
Bacteria	Permanent Draft	2529293182	Acinetobacter baumannii NIPH 290	
Bacteria	Permanent Draft	2529293183	Acinetobacter baumannii NIPH 80	
Bacteria	Permanent Draft	2529293185	Acinetobacter baumannii ABNIH26	
Bacteria	Permanent Draft	2529293186	Acinetobacter baumannii ABNIH25	
Bacteria	Permanent Draft	2529293226	Acinetobacter baumannii ABNIH5	
Bacteria	Permanent Draft	8039006256	Burkholderia cepacia MSMB1819WGS	
Bacteria	Permanent Draft	8044324721	Pseudomonas savastanoi pv. glycinea ICMP 3482	
Bacteria	Permanent Draft	2531839348	Acinetobacter baumannii Naval-2	
Bacteria	Permanent Draft	2531839351	Acinetobacter baumannii IS-58	
Bacteria	Permanent Draft	2531839355	Acinetobacter baumannii WC-323	
Bacteria	Permanent Draft	2531839357	Acinetobacter baumannii Naval-113	
Bacteria	Permanent Draft	2531839405	Burkholderia pseudomallei 1258b	
Bacteria	Permanent Draft	2531839406	Burkholderia pseudomallei 1258a	
Bacteria	Permanent Draft	8041946493	Acinetobacter nosocomialis AB11	
Bacteria	Permanent Draft	2531839407	Burkholderia pseudomallei 1026a	
Bacteria	Permanent Draft	8044229865	Pseudomonas savastanoi pv. glycinea ICMP 10449	
Bacteria	Permanent Draft	8044487674	Pseudomonas savastanoi pv. glycinea ICMP 6372	
Bacteria	Permanent Draft	2531839458	Acinetobacter baumannii Canada BC-5	
Bacteria	Permanent Draft	2531839459	Acinetobacter baumannii Naval-17	
Bacteria	Permanent Draft	2531839461	Acinetobacter baumannii OIFC189	
Bacteria	Permanent Draft	2531839462	Acinetobacter baumannii IS-123	
Bacteria	Permanent Draft	2531839465	Acinetobacter baumannii Naval-81	
Bacteria	Permanent Draft	2531839466	Acinetobacter baumannii OIFC074	
Bacteria	Permanent Draft	8044540308	Pseudomonas savastanoi pv. glycinea ICMP 4182	
Bacteria	Permanent Draft	2531839526	Grimontia indica AK16	
Bacteria	Permanent Draft	2531839611	Pseudomonas syringae pv. glycinea B076	
Bacteria	Permanent Draft	2531839636	Acinetobacter baumannii Naval-78	
Bacteria	Permanent Draft	2531839638	Acinetobacter baumannii OIFC338	
Bacteria	Permanent Draft	2531839647	Acinetobacter lactucae ANC 4052	
Bacteria	Permanent Draft	2531839648	Acinetobacter calcoaceticus ANC 3811	
Bacteria	Permanent Draft	2531839677	Acinetobacter baumannii AB210	
Bacteria	Permanent Draft	2531839680	Enterobacter cloacae cloacae GS1	
Bacteria	Permanent Draft	2531839683	Achromobacter xylosoxidans C54	
Bacteria	Permanent Draft	2534681778	Acinetobacter baumannii ABNIH18	
Bacteria	Permanent Draft	2534681779	Acinetobacter baumannii ABNIH19	
Bacteria	Permanent Draft	2534681844	Acinetobacter baumannii ABNIH15	
Bacteria	Permanent Draft	2534681845	Acinetobacter baumannii ABNIH14	
Bacteria	Permanent Draft	2534681846	Acinetobacter baumannii ABNIH13	
Bacteria	Permanent Draft	2534681847	Acinetobacter baumannii ABNIH11	
Bacteria	Permanent Draft	2534681848	Acinetobacter baumannii ABNIH10	
Bacteria	Permanent Draft	2534681850	Acinetobacter baumannii ABNIH7	
Bacteria	Permanent Draft	2534681851	Acinetobacter baumannii ABNIH6	
Bacteria	Permanent Draft	2534681905	Acinetobacter baumannii NIPH 24	
Bacteria	Permanent Draft	2534681906	Acinetobacter baumannii NIPH 1669	
Bacteria	Permanent Draft	2534681907	Acinetobacter baumannii NIPH 1362	
Bacteria	Permanent Draft	2534681910	Acinetobacter baumannii NIPH 2061	
Bacteria	Permanent Draft	2534682017	Acinetobacter calcoaceticus DSM 30006	
Bacteria	Permanent Draft	2534682019	Acinetobacter calcoaceticus NIPH 13	
Bacteria	Permanent Draft	2534682020	Acinetobacter calcoaceticus ANC 3680	
Bacteria	Permanent Draft	2534682195	Acinetobacter baumannii ANC 4097	
Bacteria	Permanent Draft	2534682196	Acinetobacter baumannii CIP 70.34	
Bacteria	Permanent Draft	2534682260	Acinetobacter baumannii ABNIH1	
Bacteria	Permanent Draft	2534682261	Acinetobacter baumannii ABNIH2	
Bacteria	Permanent Draft	2534682263	Acinetobacter baumannii ABNIH3	
Bacteria	Permanent Draft	2534682264	Acinetobacter baumannii ABNIH4	
Bacteria	Permanent Draft	2534682328	Acinetobacter baumannii ABNIH20	
Bacteria	Permanent Draft	2537561557	Acinetobacter nosocomialis NIPH 2119	
Bacteria	Permanent Draft	2537561708	Pseudomonas syringae pv. glycinea race 4	
Bacteria	Permanent Draft	2537561718	Acinetobacter baumannii IS-143	
Bacteria	Permanent Draft	2537561719	Acinetobacter baumannii IS-251	
Bacteria	Permanent Draft	2537561720	Acinetobacter baumannii IS-235	
Bacteria	Permanent Draft	2537561721	Acinetobacter baumannii Naval-13	
Bacteria	Permanent Draft	2537561722	Acinetobacter baumannii OIFC180	
Bacteria	Permanent Draft	2537561724	Acinetobacter baumannii Naval-83	
Bacteria	Permanent Draft	2537561790	Acinetobacter baumannii Canada BC-1	
Bacteria	Permanent Draft	2537561800	Burkholderia pseudomallei 354a	
Bacteria	Permanent Draft	2537561811	Paraburkholderia hospita BS001	
Bacteria	Permanent Draft	2537561842	Acinetobacter baumannii OIFC137	
Bacteria	Permanent Draft	2537561843	Acinetobacter baumannii OIFC109	
Bacteria	Permanent Draft	2537561872	Acinetobacter baumannii MSP4-16	
Bacteria	Permanent Draft	2537562045	Alcaligenes faecalis faecalis NCIB 8687	
Bacteria	Permanent Draft	2537562053	Acinetobacter baumannii WC-A-694	
Bacteria	Permanent Draft	2537562054	Acinetobacter baumannii Naval-21	
Bacteria	Permanent Draft	2537562057	Acinetobacter baumannii OIFC021	
Bacteria	Permanent Draft	2537562147	Amycolatopsis azurea DSM 43854	
Bacteria	Finished	2540341106	Modestobacter marinus BC501	
Bacteria	Finished	2540341176	Burkholderia thailandensis MSMB121	
Bacteria	Finished	2540341184	Saccharothrix espanaensis DSM 44229	
Bacteria	Permanent Draft	2540341200	Agrobacterium larrymoorei ATCC 51759	
Bacteria	Permanent Draft	2541046983	Delftia acidovorans CCUG 15835	
Bacteria	Permanent Draft	2541046998	Streptomyces sp. HGB0020	
Bacteria	Permanent Draft	2545555856	Curvibacter gracilis ATCC BAA-807	
Bacteria	Permanent Draft	2545824509	Pantoea sp. GL120224-02	
Bacteria	Permanent Draft	2545824543	Hyphomicrobium sp. 99	
Bacteria	Permanent Draft	2545824682	Amycolatopsis decaplanina DSM 44594	
Bacteria	Permanent Draft	2545824687	Burkholderia pseudomallei MSHR1043	
Bacteria	Permanent Draft	2545824723	Rhodococcus rhodnii LMG 5362	
Bacteria	Permanent Draft	2545824735	Acinetobacter gerneri MTCC 9824	
Bacteria	Permanent Draft	2545824738	Acinetobacter gyllenbergii MTCC 11365	
Bacteria	Permanent Draft	2545824755	Burkholderia vietnamiensis AU4i	
Bacteria	Permanent Draft	2545824764	Acinetobacter baumannii 1605	
Bacteria	Permanent Draft	2546825533	Bradyrhizobium sp. URHA0013	
Bacteria	Permanent Draft	2546825541	Burkholderia CL11	
Bacteria	Permanent Draft	2546825544	Burkholderia MF376	
Bacteria	Permanent Draft	2546825545	Burkholderia MF384	
Bacteria	Permanent Draft	8050189855	Burkholderia mallei NCTC 3708	
Bacteria	Permanent Draft	8050297218	Burkholderia cepacia MSMB1533WGS	
Bacteria	Permanent Draft	8052594031	Pseudomonas putida NCTC 10936	
Bacteria	Permanent Draft	8050723661	Burkholderia ubonensis MSMB0842	
Bacteria	Permanent Draft	8050716823	Burkholderia ubonensis MSMB0177	
Bacteria	Permanent Draft	8050765351	Burkholderia ubonensis MSMB1178WGS	
Bacteria	Permanent Draft	2547132045	Acinetobacter baumannii 3990	
Bacteria	Permanent Draft	8048029024	Xinfangfangia pollutisoli Clo-40	
Bacteria	Permanent Draft	2547132111	Streptomyces sp. TOR3209	
Bacteria	Permanent Draft	2547132185	Enterobacter cancerogenus YZ1	
Bacteria	Permanent Draft	2547132190	Kocuria sp. UCD-OTCP	
Bacteria	Permanent Draft	2547132223	Acinetobacter baumannii AB059	
Bacteria	Permanent Draft	2547132224	Acinetobacter baumannii AB058	
Bacteria	Finished	2547132245	Burkholderia pseudomallei Bp22	
Bacteria	Permanent Draft	2547132251	Burkholderia thailandensis E355	
Bacteria	Permanent Draft	2547132287	Acinetobacter baumannii UMB001	
Bacteria	Permanent Draft	2547132298	Acinetobacter genomospecies 13TU A 267, NCTC 8102	
Bacteria	Permanent Draft	2547132301	Acinetobacter baumannii W6976	
Bacteria	Permanent Draft	2547132302	Acinetobacter baumannii W7282	
Bacteria	Permanent Draft	2547132303	Acinetobacter calcoaceticus DSM 30006	
Bacteria	Permanent Draft	2548876508	Pseudomonas tolaasii PMS117	
Bacteria	Permanent Draft	8046448660	Variovorax terrae CYS-02	
Bacteria	Permanent Draft	2548876750	Pseudomonas syringae ICMP 18804	
Bacteria	Permanent Draft	2548876752	Pseudomonas syringae ICMP 18806	
