Domain	Status	Genome ID	Genome Name	
Archaea	Finished	637000162	Methanosarcina barkeri Fusaro	
Archaea	Finished	638154508	Methanosarcina acetivorans C2A	
Archaea	Permanent Draft	2595698250	Methanosarcina sp. DSM 11855	
Archaea	Finished	2627853629	Methanosarcina sp. Kolksee	
Archaea	Finished	2627854140	Methanosarcina thermophila CHTI-55	
Archaea	Finished	2627854269	Methanosarcina horonobensis HB-1	
Archaea	Finished	2630968669	Methanosarcina barkeri Wiesmoor	
Archaea	Finished	2630968686	Methanosarcina barkeri 227	
Archaea	Finished	2630968729	Methanosarcina barkeri MS	
Archaea	Finished	2634166439	Methanosarcina barkeri CM1	
Archaea	Finished	2636415612	Methanosarcina thermophila TM-1	
Archaea	Finished	2648501188	Methanosarcina vacuolata Z-761	
Archaea	Finished	2648501421	Methanosarcina barkeri 3	
Archaea	Permanent Draft	2651869834	Methanosarcina flavescens E03.2	
Archaea	Finished	2681813367	Methanosarcina sp. 795 OTU795	
Archaea	Permanent Draft	2684622504	Methanosarcina barkeri JCM 10043	
Archaea	Permanent Draft	2684622506	Methanosarcina horonobensis JCM 15518	
Archaea	Permanent Draft	2791355116	Methanosarcina spelaei MC-15	
Archaea	Permanent Draft	2835723613	Methanosarcina sp. DH2	
Archaea	Permanent Draft	2835727744	Methanosarcina sp. DH1	
Archaea	Permanent Draft	3003306666	Methanosarcina sp. MSH10X1	
Bacteria	Finished	637000081	Colwellia psychrerythraea 34H	
Bacteria	Finished	637000094	Desulfotalea psychrophila LSv54	
Bacteria	Finished	637000095	Oleidesulfovibrio alaskensis G20	
Bacteria	Finished	637000102	Pectobacterium atrosepticum SCRI1043	
Bacteria	Finished	637000111	Francisella tularensis holarctica LVS	
Bacteria	Finished	637000113	Francisella tularensis tularensis FSC 198	
Bacteria	Finished	637000114	Francisella tularensis tularensis SCHU S4	
Bacteria	Finished	637000128	Hahella chejuensis KCTC 2396	
Bacteria	Finished	637000012	Aromatoleum aromaticum EbN1	
Bacteria	Finished	637000053	Paraburkholderia xenovorans LB400	
Bacteria	Finished	637000219	Pseudomonas entomophila L48	
Bacteria	Finished	637000235	Rhodoferax ferrireducens T118	
Bacteria	Finished	637000238	Rhodopseudomonas pseudopalustris BisB5	
Bacteria	Finished	637000239	Rhodopseudomonas palustris CGA009	
Bacteria	Finished	637000240	Rhodopseudomonas palustris HaA2	
Bacteria	Finished	637000241	Rhodospirillum rubrum S1, ATCC 11170	
Bacteria	Finished	637000251	Salmonella enterica enterica sv. Choleraesuis SC-B67	
Bacteria	Finished	637000252	Salmonella enterica enterica sv. Paratyphi A	
Bacteria	Finished	637000253	Salmonella enterica enterica sv. Typhi Ty2	
Bacteria	Finished	637000254	Salmonella enterica enterica sv. Typhi CT18	
Bacteria	Finished	637000255	Salmonella enterica enterica sv. Typhimurium LT2	
Bacteria	Finished	637000309	Synechococcus sp. CC9311	
Bacteria	Finished	8023823886	Salmonella enterica FORC_056	
Bacteria	Permanent Draft	638341215	Synechococcus sp. WH7805	
Bacteria	Permanent Draft	638341223	Photobacterium angustum S14	
Bacteria	Permanent Draft	638341241	Yersinia mollaretii ATCC 43969	
Bacteria	Finished	8023828690	Salmonella enterica CFSAN044888	
Bacteria	Permanent Draft	8024472007	Rhizobium ruizarguesonis UPM1133	
Bacteria	Finished	639633024	Francisella tularensis novicida U112	
Bacteria	Finished	640069311	Francisella tularensis tularensis A.II, Wyoming, WY96-3418	
Bacteria	Finished	640069335	Yersinia enterocolitica enterocolitica sv. 0:08 8081	
Bacteria	Finished	640427103	Bradyrhizobium sp. BTAi1	
Bacteria	Finished	640427104	Bradyrhizobium sp. ORS278	
Bacteria	Finished	640427113	Enterobacter sp. 638	
Bacteria	Finished	640427136	Cupriavidus necator H16	
Bacteria	Finished	640427137	Rhizobium etli CFN 42, DSM 11541	
Bacteria	Finished	640427149	Synechococcus sp. WH7803	
Bacteria	Finished	640753015	Citrobacter koseri ATCC BAA-895	
Bacteria	Finished	640753022	Cronobacter sakazakii ATCC BAA-894	
Bacteria	Finished	640753028	Francisella tularensis holarctica FTA (FTNF002-00)	
Bacteria	Finished	640753031	Kineococcus radiotolerans SRS30216	
Bacteria	Finished	640753032	Klebsiella pneumoniae pneumoniae MGH78578	
Bacteria	Finished	640753048	Serratia proteamaculans 568	
Bacteria	Finished	640753050	Shewanella sediminis HAW-EB3	
Bacteria	Finished	640753051	Sinorhizobium medicae WSM419	
Bacteria	Finished	641228504	Salinispora arenicola CNS-205	
Bacteria	Finished	641228505	Salmonella enterica arizonae sv. 62:z4,z23 RSK2980	
Bacteria	Finished	641228506	Salmonella enterica enterica sv. Paratyphi B SPB7	
Bacteria	Finished	641522606	Beijerinckia indica indica ATCC 9039	
Bacteria	Finished	641522628	Francisella philomiragia philomiragia ATCC 25017	
Bacteria	Finished	641522629	Francisella tularensis mediasiatica FSC147	
Bacteria	Permanent Draft	641736100	Salmonella enterica enterica sv. Schwarzengrund SL480	
Bacteria	Permanent Draft	641736103	Salmonella enterica enterica sv. Kentucky CDC 191	
Bacteria	Permanent Draft	641736105	Salmonella enterica enterica sv. Heidelberg SL486	
Bacteria	Permanent Draft	641736111	Salmonella enterica enterica sv. Newport SL317	
Bacteria	Permanent Draft	641736172	Providencia stuartii ATCC 25827	
Bacteria	Permanent Draft	641736208	Salmonella enterica enterica sv. Hadar RI_05P066	
Bacteria	Permanent Draft	641736209	Salmonella enterica enterica sv. Weltevreden HI_N05-537	
Bacteria	Permanent Draft	641736230	Salmonella enterica enterica sv. Saint Paul SARA29	
Bacteria	Permanent Draft	641736231	Salmonella enterica enetrica sv. S4,[5],12:i: CVM23701	
Bacteria	Permanent Draft	641736234	Salmonella enterica enterica sv. Kentucky CVM29188	
Bacteria	Finished	642555128	Erwinia tasmaniensis Et1/99	
Bacteria	Finished	642555150	Proteus mirabilis HI4320	
Bacteria	Finished	642555152	Rhizobium etli CIAT 652	
Bacteria	Finished	642555153	Rhodopseudomonas palustris TIE-1	
Bacteria	Finished	642555154	Salmonella enterica sv. Agona SL483	
Bacteria	Finished	642555156	Salmonella enterica sv. Heidelberg SL476	
Bacteria	Finished	642555157	Salmonella enterica sv. Newport SL254	
Bacteria	Finished	642555158	Salmonella enterica sv. Paratyphi A AKU_12601	
Bacteria	Finished	642555159	Salmonella enterica enterica sv. Schwarzengrund CVM19633	
Bacteria	Permanent Draft	642791609	Francisella tularensis novicida FTE	
Bacteria	Finished	643348539	Desulfovibrio vulgaris Miyazaki F	
Bacteria	Finished	643348560	Klebsiella variicola 342	
Bacteria	Finished	643348572	Salmonella enterica enterica sv. Enteritidis P125109	
Bacteria	Finished	643348573	Salmonella enterica enterica sv. Gallinarum 287/91	
Bacteria	Permanent Draft	642979302	Rhizobium etli GR56	
Bacteria	Permanent Draft	642979314	Francisella tularensis novicida FTG, UT01-4992	
Bacteria	Permanent Draft	642979317	Providencia alcalifaciens sv. 019:H2 DSM 30120	
Bacteria	Permanent Draft	642979318	Providencia rustigianii DSM 4541	
Bacteria	Permanent Draft	642979339	Salmonella enterica enterica sv. Typhi J185	
Bacteria	Permanent Draft	642979340	Salmonella enterica enterica sv. Typhi E98-2068	
Bacteria	Permanent Draft	642979341	Salmonella enterica enterica sv. Typhi E98-0664	
Bacteria	Permanent Draft	642979342	Salmonella enterica enterica sv. Typhi E02-1180	
Bacteria	Permanent Draft	642979343	Salmonella enterica enterica sv. Typhi E01-6750	
Bacteria	Permanent Draft	642979346	Salmonella enterica enterica sv. Typhi E98-3139	
Bacteria	Permanent Draft	642979348	Salmonella enterica enterica sv. Typhi M223	
Bacteria	Finished	643692035	Salmonella enterica sv. Paratyphi C RKS4594	
Bacteria	Finished	643692051	Thauera aminoaromatica MZ1T	
Bacteria	Permanent Draft	643886024	Proteus mirabilis ATCC 29906	
Bacteria	Permanent Draft	643886152	Pectobacterium brasiliensis PBR1692	
Bacteria	Finished	644736333	Candidatus Accumulibacter regalis UW-1	
Bacteria	Finished	644736340	Chitinophaga pinensis UQM 2034, DSM 2588	
Bacteria	Finished	644736352	Solidesulfovibrio magneticus RS-1	
Bacteria	Finished	644736353	Maridesulfovibrio salexigens DSM 2638	
Bacteria	Finished	644736357	Edwardsiella ictaluri 93-146	
Bacteria	Finished	644736369	Flavobacterium johnsoniae UW101, ATCC 17061	
Bacteria	Finished	644736397	Pectobacterium carotovorum carotovorum PC1	
Bacteria	Permanent Draft	645058789	Yersinia rohdei ATCC 43380	
Bacteria	Permanent Draft	645058790	Yersinia kristensenii ATCC 33638	
Bacteria	Permanent Draft	645058792	Yersinia aldovae ATCC 35236	
Bacteria	Permanent Draft	645058837	Salmonella enterica enterica sv. Tennessee I 6,7,14:z29:- CDC07-0191	
Bacteria	Finished	646311913	Citrobacter rodentium ICC168	
Bacteria	Finished	646311918	Cronobacter turicensis z3032	
Bacteria	Finished	646311920	Dickeya parazeae Ech586	
Bacteria	Finished	646311921	Edwardsiella tarda EIB202	
Bacteria	Permanent Draft	646206256	Citrobacter portucalensis 30_2	
Bacteria	Finished	646564529	Enterobacter cloacae cloacae ATCC 13047	
Bacteria	Finished	646564530	Erwinia amylovora Ea273, ATCC 49946	
Bacteria	Finished	646564531	Erwinia amylovora CFBP 1430	
Bacteria	Finished	646564532	Erwinia pyrifoliae Ep1/96	
Bacteria	Finished	646564538	Klebsiella pneumoniae NTUH-K2044	
Bacteria	Finished	646564558	Pantoea ananatis LMG 20103	
Bacteria	Finished	646862321	Erwinia pyrifoliae DSM 12163	
Bacteria	Finished	646862328	Francisella tularensis tularensis NE061598	
Bacteria	Finished	646862339	Salmonella enterica enterica sv, Typhimurium D23580	
Bacteria	Finished	646862340	Salmonella enterica enterica sv. Typhimurium 14028S	
Bacteria	Permanent Draft	647000236	Solidesulfovibrio carbinoliphilus oakridgensis FW1012B	
Bacteria	Permanent Draft	647000237	Edwardsiella tarda ATCC 23685	
Bacteria	Permanent Draft	647000250	Francisella tularensis holarctica URFT1	
Bacteria	Permanent Draft	647000262	Klebsiella pneumoniae rhinoscleromatis ATCC 13884	
Bacteria	Permanent Draft	647000312	Serratia odorifera DSM 4582	
Bacteria	Permanent Draft	647533163	Francisella tularensis novicida GA99-3548	
Bacteria	Permanent Draft	647533164	Francisella tularensis novicida GA99-3549	
Bacteria	Permanent Draft	647533165	Francisella tularensis holarctica 257	
Bacteria	Permanent Draft	647533167	Francisella tularensis tularensis FSC033	
Bacteria	Permanent Draft	647533174	Klebsiella variicola 1_1_55	
Bacteria	Finished	648028049	Pantoea vagans C9-1	
Bacteria	Finished	648028054	Starkeya novella DSM 506	
Bacteria	Finished	648231704	Edwardsiella tarda FL6-60	
Bacteria	Permanent Draft	648276636	Solidesulfovibrio fructosivorans JJ	
Bacteria	Finished	648276680	Ktedonobacter racemifer SOSP1-21, DSM 44963	
Bacteria	Permanent Draft	648276708	Pantoea sp. aB	
Bacteria	Finished	648276728	Sinorhizobium meliloti BL225C	
Bacteria	Finished	649633037	Pseudodesulfovibrio aespoeensis Aspo-2, DSM 10631	
Bacteria	Finished	649633041	Enterobacter lignolyticus SCF1	
Bacteria	Finished	649633045	Frankia inefficax EuI1c	
Bacteria	Finished	649633081	Pantoea sp. At-9b	
Bacteria	Finished	649633088	Rahnella aceris Y9602	
Bacteria	Finished	649633091	Rhodopseudomonas palustris DX-1	
Bacteria	Finished	649633100	Terriglobus saanensis SP1PR4, DSM 23119	
Bacteria	Finished	650377928	Enterobacter hormaechei NCTC 9394	
