"ASV","count","ASV_ID","taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7"
"OTU_1427_16S",7,"OTU_1427","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA"
"OTU_1522_16S",7,"OTU_1522","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","NA","NA","NA"
"OTU_1787_16S",7,"OTU_1787","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella","NA"
"OTU_233_16S",7,"OTU_233","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA"
"OTU_359_16S",7,"OTU_359","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA"
"OTU_434_16S",7,"OTU_434","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","NA","NA"
"OTU_765_16S",7,"OTU_765","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA"
"OTU_919_16S",7,"OTU_919","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","NA","NA","NA"
"OTU_976_16S",7,"OTU_976","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_1021_16S",6,"OTU_1021","Bacteria","Actinobacteriota","MB-A2-108","NA","NA","NA","NA"
"OTU_1047_16S",6,"OTU_1047","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","NA","NA"
"OTU_1156_16S",6,"OTU_1156","Bacteria","Acidobacteriota","Holophagae","Subgroup 7","NA","NA","NA"
"OTU_1341_16S",6,"OTU_1341","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1","NA"
"OTU_1405_16S",6,"OTU_1405","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","NA"
"OTU_140_16S",6,"OTU_140","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","NA"
"OTU_1463_16S",6,"OTU_1463","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","NA"
"OTU_157_16S",6,"OTU_157","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","NA","NA"
"OTU_1732_16S",6,"OTU_1732","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","NA","NA","NA"
"OTU_226_16S",6,"OTU_226","Bacteria","Myxococcota","bacteriap25","NA","NA","NA","NA"
"OTU_22_16S",6,"OTU_22","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","NA"
"OTU_36_16S",6,"OTU_36","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Corallococcus","coralloides"
"OTU_698_16S",6,"OTU_698","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA"
"OTU_794_16S",6,"OTU_794","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA"
"OTU_956_16S",6,"OTU_956","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_1020_16S",5,"OTU_1020","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","NA","NA"
"OTU_1135_16S",5,"OTU_1135","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","NA","NA"
"OTU_1237_16S",5,"OTU_1237","Bacteria","Acidobacteriota","Blastocatellia","11-24","NA","NA","NA"
"OTU_1282_16S",5,"OTU_1282","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga","NA"
"OTU_1321_16S",5,"OTU_1321","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","scabiei"
"OTU_162_16S",5,"OTU_162","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA"
"OTU_276_16S",5,"OTU_276","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","NA","NA","NA"
"OTU_438_16S",5,"OTU_438","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA"
"OTU_523_16S",5,"OTU_523","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA"
"OTU_651_16S",5,"OTU_651","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","NA"
"OTU_1067_16S",4,"OTU_1067","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","NA","NA","NA"
"OTU_112_16S",4,"OTU_112","Bacteria","Actinobacteriota","Actinobacteria","NA","NA","NA","NA"
"OTU_1253_16S",4,"OTU_1253","Bacteria","Gemmatimonadota","S0134 terrestrial group","NA","NA","NA","NA"
"OTU_1254_16S",4,"OTU_1254","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA"
"OTU_1313_16S",4,"OTU_1313","Bacteria","NA","NA","NA","NA","NA","NA"
"OTU_1361_16S",4,"OTU_1361","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","NA","NA"
"OTU_14067_16S",4,"OTU_14067","Bacteria","NA","NA","NA","NA","NA","NA"
"OTU_1480_16S",4,"OTU_1480","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA"
"OTU_161_16S",4,"OTU_161","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","NA"
"OTU_1724_16S",4,"OTU_1724","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","NA"
"OTU_1734_16S",4,"OTU_1734","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","NA"
"OTU_1_16S",4,"OTU_1","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_2028_16S",4,"OTU_2028","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","koreensis"
"OTU_24_16S",4,"OTU_24","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","NA"
"OTU_435_16S",4,"OTU_435","Bacteria","Chloroflexi","Ktedonobacteria","C0119","NA","NA","NA"
"OTU_461_16S",4,"OTU_461","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","NA","NA","NA"
"OTU_471_16S",4,"OTU_471","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_515_16S",4,"OTU_515","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","NA","NA"
"OTU_516_16S",4,"OTU_516","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_548_16S",4,"OTU_548","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","NA"
"OTU_655_16S",4,"OTU_655","Bacteria","Actinobacteriota","MB-A2-108","NA","NA","NA","NA"
"OTU_709_16S",4,"OTU_709","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","NA"
"OTU_1004_16S",3,"OTU_1004","Bacteria","Actinobacteriota","Actinobacteria","FFCH16263","NA","NA","NA"
"OTU_123_16S",3,"OTU_123","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","NA","NA","NA"
"OTU_1275_16S",3,"OTU_1275","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas","NA"
"OTU_1328_16S",3,"OTU_1328","Bacteria","Actinobacteriota","MB-A2-108","NA","NA","NA","NA"
"OTU_1435_16S",3,"OTU_1435","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans","NA"
"OTU_1557_16S",3,"OTU_1557","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","NA"
"OTU_1567_16S",3,"OTU_1567","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA"
"OTU_1585_16S",3,"OTU_1585","Bacteria","Chloroflexi","Ktedonobacteria","C0119","NA","NA","NA"
"OTU_1625_16S",3,"OTU_1625","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","gummiphilus"
"OTU_183_16S",3,"OTU_183","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","phaseoli"
"OTU_190_16S",3,"OTU_190","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","NA"
"OTU_199_16S",3,"OTU_199","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_2168_16S",3,"OTU_2168","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","NA"
"OTU_239_16S",3,"OTU_239","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA"
"OTU_2588_16S",3,"OTU_2588","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","NA","NA"
"OTU_284_16S",3,"OTU_284","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","NA"
"OTU_293_16S",3,"OTU_293","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus","NA"
"OTU_366_16S",3,"OTU_366","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium","NA"
"OTU_527_16S",3,"OTU_527","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella","NA"
"OTU_5397_16S",3,"OTU_5397","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","NA","NA"
"OTU_546_16S",3,"OTU_546","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","NA","NA","NA"
"OTU_570_16S",3,"OTU_570","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","NA"
"OTU_590_16S",3,"OTU_590","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA"
"OTU_739_16S",3,"OTU_739","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudohongiellaceae","BIyi10","NA"
"OTU_82_16S",3,"OTU_82","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira","NA"
"OTU_901_16S",3,"OTU_901","Bacteria","Chloroflexi","Ktedonobacteria","C0119","NA","NA","NA"
"OTU_1122_16S",2,"OTU_1122","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter","NA"
"OTU_1139_16S",2,"OTU_1139","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","A21b","NA","NA"
"OTU_1153_16S",2,"OTU_1153","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","NA","NA"
"OTU_1154_16S",2,"OTU_1154","Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","NA","NA"
"OTU_1257_16S",2,"OTU_1257","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","NA","NA"
