"ASV","count","ASV_ID","taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7"
"OTU_845_16S",2,"OTU_845","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","NA"
"OTU_960_16S",2,"OTU_960","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","NA"
"OTU_979_16S",2,"OTU_979","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","saxobsidens"
"OTU_984_16S",2,"OTU_984","Bacteria","Chloroflexi","Gitt-GS-136","NA","NA","NA","NA"
"OTU_989_16S",2,"OTU_989","Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas","NA"
"OTU_994_16S",2,"OTU_994","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_996_16S",2,"OTU_996","Bacteria","Acidobacteriota","Holophagae","Subgroup 7","NA","NA","NA"
"OTU_100_16S",1,"OTU_100","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA"
"OTU_105_16S",1,"OTU_105","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_1076_16S",1,"OTU_1076","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","NA","NA","NA"
"OTU_1083_16S",1,"OTU_1083","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","NA","NA","NA"
"OTU_1106_16S",1,"OTU_1106","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_122_16S",1,"OTU_122","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","NA"
"OTU_124_16S",1,"OTU_124","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_1283_16S",1,"OTU_1283","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","NA","NA"
"OTU_1298_16S",1,"OTU_1298","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter","NA"
"OTU_1307_16S",1,"OTU_1307","Bacteria","Actinobacteriota","MB-A2-108","NA","NA","NA","NA"
"OTU_1344_16S",1,"OTU_1344","Bacteria","Actinobacteriota","MB-A2-108","NA","NA","NA","NA"
"OTU_1368_16S",1,"OTU_1368","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","NA"
"OTU_1370_16S",1,"OTU_1370","Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","NA","NA","NA"
"OTU_139_16S",1,"OTU_139","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","NA","NA"
"OTU_1425_16S",1,"OTU_1425","Bacteria","Acidobacteriota","Holophagae","Subgroup 7","NA","NA","NA"
"OTU_1471_16S",1,"OTU_1471","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter","NA"
"OTU_155_16S",1,"OTU_155","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","NA","NA"
"OTU_158_16S",1,"OTU_158","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_1611_16S",1,"OTU_1611","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","NA","NA","NA"
"OTU_166_16S",1,"OTU_166","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA"
"OTU_171_16S",1,"OTU_171","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA"
"OTU_1796_16S",1,"OTU_1796","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","NA"
"OTU_184_16S",1,"OTU_184","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA"
"OTU_185_16S",1,"OTU_185","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","NA"
"OTU_1950_16S",1,"OTU_1950","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus Alysiosphaera","NA"
"OTU_196_16S",1,"OTU_196","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","NA"
"OTU_212_16S",1,"OTU_212","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","NA","NA"
"OTU_219_16S",1,"OTU_219","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","NA","NA","NA"
"OTU_221_16S",1,"OTU_221","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_231_16S",1,"OTU_231","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","NA"
"OTU_244_16S",1,"OTU_244","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA"
"OTU_246_16S",1,"OTU_246","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","NA"
"OTU_257_16S",1,"OTU_257","Bacteria","Actinobacteriota","Actinobacteria","NA","NA","NA","NA"
"OTU_260_16S",1,"OTU_260","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_262_16S",1,"OTU_262","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","NA"
"OTU_265_16S",1,"OTU_265","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola","NA"
"OTU_269_16S",1,"OTU_269","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacter","NA"
"OTU_273_16S",1,"OTU_273","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","NA"
"OTU_278_16S",1,"OTU_278","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","NA"
"OTU_285_16S",1,"OTU_285","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","NA"
"OTU_294_16S",1,"OTU_294","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","NA"
"OTU_2_16S",1,"OTU_2","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","NA"
"OTU_303_16S",1,"OTU_303","Bacteria","Myxococcota","bacteriap25","NA","NA","NA","NA"
"OTU_304_16S",1,"OTU_304","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","NA","NA"
"OTU_307_16S",1,"OTU_307","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","NA","NA"
"OTU_30_16S",1,"OTU_30","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_315_16S",1,"OTU_315","Bacteria","Myxococcota","bacteriap25","NA","NA","NA","NA"
"OTU_3170_16S",1,"OTU_3170","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","NA"
"OTU_326_16S",1,"OTU_326","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","friuliensis"
"OTU_330_16S",1,"OTU_330","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA"
"OTU_347_16S",1,"OTU_347","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","NA","NA"
